id,calificacion,caracteristica,imagen,nombre,juego_id,puesto,total,valor1,valor2,valor3
90,NULL,"Sin descripción.",Emily_Screenshot_2025-09-18-10-23-56-766_dominobeach.hotzone18.com~2.jpg,Emily,17,160,52.05,70,83,20
91,NULL,"Sin descripción.",Carla_Screenshot_2025-09-18-10-23-56-766_dominobeach.hotzone18.com~2.jpg,Carla,17,142,59.3,70,78,40
92,NULL,"Sin descripción.",Deana_x-43~2.png,Deana,18,64,80.8,75,80,84
93,NULL,"Sin descripción.",Catherine_x-fin2_78~2.png,Catherine,18,88,76.5,75,82,73
94,NULL,"Sin descripción.",Kaylee_x-pk2_98~2.png,Kaylee,18,125,66.15,75,60,67
95,NULL,"Sin descripción.",Dahlia_x-pdah1_33~2.png,Dahlia,18,103,73.45,75,77,70
96,NULL,"Sin descripción.",Nikki_nikki.jpg,Nikki,17,121,67.35,70,65,68
97,NULL,"Sin descripción.",Olivia_x-c1_e1_d2_roam_220~2.jpg,Olivia,6,165,49.6,77,72,20
98,NULL,"Sin descripción.",Lana_x-c1_e1_d2_lunch_99~2.jpg,Lana,6,127,64.4,77,59,63
99,NULL,"Sin descripción.",Miranda_x-c1_e3_d2_miranda_9~2.jpg,Miranda,6,54,82.5,77,94,76
100,NULL,"Sin descripción.",Taylor_x-c1_e2_d5_hangout_taylor_37~2.jpg,Taylor,6,109,71.5,77,78,64
101,NULL,"Sin descripción.",Elsa_x-c1_e3_d6_bar_37~2.jpg,Elsa,6,40,84.3,77,85,87
102,NULL,"Sin descripción.",Samara_x-c1_e3_d4_expo_96~2.jpg,Samara,6,162,51.35,77,77,20
103,NULL,"Sin descripción.",Aurora_x-c1_e1_d3_insomnia_outside_7~2.jpg,Aurora,6,77,78.7,77,78,80
105,NULL,"Sin descripción.",Alexandra_x-0_story_alexandra_354_2~2.jpg,Alexandra,15,96,75.3,85,83,65
106,NULL,"Sin descripción.",Kate_x-13_story_kate_800~2.jpg,Kate,15,66,80.75,80,95,70
107,NULL,"Sin descripción.",Elena_x-5_story_elena_36_uhd.jpg,Elena,15,155,54.2,80,50,46
108,NULL,"Sin descripción.",Laura_Screenshot_2025-09-18-20-15-35-665_betrayal.hotzone18.com~2.jpg,Laura,16,141,59.4,92,85,25
109,NULL,"Sin descripción.",Ashley_Screenshot_2025-09-18-20-12-02-373_betrayal.hotzone18.com~2.jpg,Ashley,16,137,61.15,92,90,25
110,NULL,"Hermana - Puntaje de sexo alto debido a la probabilidad de suceso",Olivia_x-a562-EDIT.jpg,Olivia,24,15,90.44,100,92,85
111,NULL,"Posible novia",Samantha_x-a20-EDIT.jpg,Samantha,24,60,81.15,100,95,62
112,NULL,"Mamá de Sara",Casey_x-a844-EDIT.jpg,Casey,24,97,75.25,100,100,45
113,NULL,"Sin descripción.",Jasmine_x-ch3_reward_jasmine_1_4K-EDIT.jpg,Jasmine,24,146,58.55,100,78,25
114,NULL,"Sin descripción.",Sara_x-a772-EDIT.jpg,Sara,24,133,63.25,100,76,37
115,NULL,"Sin descripción.",Susan_x-r1180-EDIT.jpg,Susan,24,105,73,100,100,40
116,NULL,"Sin descripción.",Kimi_x-ch3_reward_kimi_1_4K-EDIT.jpg,Kimi,24,148,58,100,70,30
117,NULL,"Sin descripción.",Chloe_x-r2185-EDIT.jpg,Chloe,24,43,84,100,80,80
118,NULL,"Mamá de Samantha",PP_x-r610-EDIT.jpg,PP,24,120,67.75,100,85,40
119,NULL,"Sin descripción.",Kate_x-ag902~2.jpg,Kate,30,102,74.05,100,76,61
120,NULL,"Sin descripción.",Zoey_x-ag2518~2.jpg,Zoey,30,73,79.35,100,86,65
121,NULL,"Sin descripción.",Dana_x-ag2410~2.jpg,Dana,30,86,76.8,100,89,57
122,NULL,"Sin descripción.",Leia_x-z263~2.jpg,Leia,30,44,83.85,100,95,68
123,NULL,"Sin descripción.",Helen_x-ag489x~3.jpg,Helen,30,107,72.2,100,72,60
124,NULL,"Sin descripción.",Katarina_x-ag993~2.jpg,Katarina,30,80,78.5,100,90,60
125,NULL,"Sin descripción.",Daphne_x-ac252~2.jpg,Daphne,30,117,68.5,100,100,30
126,NULL,"Sin descripción.","Celine_x-extra celine exercise feet end 2~2.jpg",Celine,35,84,77.05,80,78,75
127,NULL,Mamá,"Joyce_x-holiday joyce 3 nsfw nude~2.jpg",Joyce,35,6,95.3,90,100,94
128,NULL,"Sin descripción.","Sra. Jane_x-tutoring 53~2.jpg","Sra. Jane",35,19,89.25,90,93,86
129,NULL,Tia,"Sofia_x-extra aunt ass 4~2.jpg",Sofia,35,13,91.35,90,90,93
130,NULL,"Sin descripción.","Ruby_x-dressing room ruby work 2~2.jpg",Ruby,35,61,81,90,90,70
131,NULL,"Sin descripción.","Isabel_x-isa lust office 5~2.jpg",Isabel,35,7,94.85,90,100,93
132,NULL,"Sin descripción.","Natsuko_x-finale tower 4~2.jpg",Natsuko,35,115,69.6,90,60,68
133,NULL,"Sin descripción.",Lorena_x-lorena_secret_02~3.jpg,Lorena,11,106,72.85,68,87,64
134,NULL,"Sin descripción.",Raven_x-raven_scene_2_outfit_1~2.png,Raven,10,98,75.15,100,74,65
135,NULL,"Sin descripción.",Alyssa_x-ch6alyP-09~2.jpg,Alyssa,14,23,88.85,100,90,83
136,NULL,"Sin descripción.",June_Screenshot_2025-11-22-11-54-29-767_com.google.android.apps.photos~2.jpg,June,14,74,79.35,100,77,72
